ön	/ön+Adj
kimini	/kim+Pron+Ques+A3sg+P3sg+Acc /kim+Pron+Ques+A3sg+P2sg+Acc /kimi+Pron+Quant+A3sg+P3sg+Acc
bizleriz	/biz+Pron+Pers+A1pl+Pnon+Nom^DB+Verb+Zero+Pres+A1pl /biz+Noun+A3pl+Pnon+Nom^DB+Verb+Zero+Pres+A1pl
birindeki	/bir+Adj^DB+Noun+Zero+A3sg+P3sg+Loc^DB+Adj+Rel /bir+Adj^DB+Noun+Zero+A3sg+P2sg+Loc^DB+Adj+Rel /bir+Num+Card^DB+Noun+Zero+A3sg+P3sg+Loc^DB+Adj+Rel /bir+Num+Card^DB+Noun+Zero+A3sg+P2sg+Loc^DB+Adj+Rel /biri+Pron+Quant+A3sg+P3sg+Loc^DB+Adj+Rel
öbürüne	/öbür+Pron+Quant+A3sg+P3sg+Dat
oyum	/o+Pron+Demons+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg /o+Pron+Pers+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg /oy+Noun+A3sg+P1sg+Nom /oy+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg /oyum+Noun+A3sg+Pnon+Nom
oyum	/o+Pron+Demons+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg /o+Pron+Pers+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg /oy+Noun+A3sg+P1sg+Nom /oy+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg /oyum+Noun+A3sg+Pnon+Nom
sensiz	/sen+Pron+Pers+A2sg+Pnon+Nom^DB+Adj+Without
sizi	/siz+Pron+Pers+A2pl+Pnon+Acc
birisinden	/biri+Pron+Quant+A3sg+P3sg+Abl
kendisiydi	/kendi+Pron+Reflex+A3sg+P3sg+Nom^DB+Verb+Zero+Past+A3sg
benimdir	/ben+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg+Cop /ben+Noun+A3sg+P1sg+Nom^DB+Verb+Zero+Pres+Cop+A3sg /ben+Pron+Pers+A1sg+Pnon+Gen^DB+Verb+Zero+Pres+Cop+A3sg /ben+Pron+Pers+A1sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg+Cop
benimdir	/ben+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg+Cop /ben+Noun+A3sg+P1sg+Nom^DB+Verb+Zero+Pres+Cop+A3sg /ben+Pron+Pers+A1sg+Pnon+Gen^DB+Verb+Zero+Pres+Cop+A3sg /ben+Pron+Pers+A1sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg+Cop
sense	/sen+Pron+Pers+A2sg+Pnon+Nom^DB+Verb+Zero+Cond+A3sg
hiçbirimizin	/hiçbiri+Pron+Quant+A1pl+P1pl+Gen
birileriyle	/biri+Pron+Quant+A3pl+P3pl+Ins
kendimce	/kendi+Pron+Reflex+A1sg+P1sg+Equ
tümünden	/tümü+Pron+Quant+A3pl+P3pl+Abl
nerelerden	/nere+Pron+Ques+A3pl+Pnon+Abl
herbirinin	/herbiri+Pron+Quant+A3sg+P3sg+Gen
sizlerde	/siz+Pron+Pers+A2pl+Pnon+Loc
olusuyla	/o+Pron+PersP+A3sg+Pnon+Nom^DB+Adj+With^DB+Noun+Zero+A3sg+P3sg+Ins
sizindir	/siz+Pron+Pers+A2pl+Pnon+Gen^DB+Verb+Zero+Pres+Cop+A3sg
onla	/o+Pron+Demons+A3sg+Pnon+Ins /on+Num+Card^DB+Noun+Zero+A3sg+Pnon+Ins
kim	/kim+Pron+Ques+A3sg+Pnon+Nom
kimim	/kim+Pron+Ques+A3sg+P1sg+Nom /kim+Pron+Ques+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
kimim	/kim+Pron+Ques+A3sg+P1sg+Nom /kim+Pron+Ques+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
kendinizin	/kendi+Pron+Reflex+A2pl+P1pl+Gen
benle	/ben+Noun+A3sg+Pnon+Ins /ben+Pron+Pers+A1sg+Pnon+Ins
bizimkilerin	/biz+Pron+Pers+A1pl+Pnon+Gen^DB+Pron+Rel+A3pl+Pnon+Gen
bizimkilerin	/biz+Pron+Pers+A1pl+Pnon+Gen^DB+Pron+Rel+A3pl+Pnon+Gen
nelerdi	/ne+Pron+Ques+A3pl+Pnon+Nom^DB+Verb+Zero+Past+A3sg /ne+Pron+Ques+A3pl+Pnon+Nom^DB+Verb+Zero+Past+A3sg
nelerdi	/ne+Pron+Ques+A3pl+Pnon+Nom^DB+Verb+Zero+Past+A3sg /ne+Pron+Ques+A3pl+Pnon+Nom^DB+Verb+Zero+Past+A3sg
kendimizde	/kendi+Pron+Reflex+A1pl+P1pl+Loc
neyim	/ne+Pron+Ques+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg /ney+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg /ney+Noun+A3sg+P1sg+Nom /ne+Pron+Ques+A3sg+P1sg+Nom /ne+Pron+Ques+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
neyim	/ne+Pron+Ques+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg /ney+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg /ney+Noun+A3sg+P1sg+Nom /ne+Pron+Ques+A3sg+P1sg+Nom /ne+Pron+Ques+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
neyim	/ne+Pron+Ques+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg /ney+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg /ney+Noun+A3sg+P1sg+Nom /ne+Pron+Ques+A3sg+P1sg+Nom /ne+Pron+Ques+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
bizdeydi	/biz+Noun+A3sg+Pnon+Loc^DB+Verb+Zero+Past+A3sg /biz+Pron+Pers+A1pl+Pnon+Loc^DB+Verb+Zero+Past+A3sg
hiçbirisinin	/hiçbiri+Pron+Quant+A3sg+P3sg+Gen
hepimizden	/hep+Pron+Quant+A1pl+P1pl+Abl
nere	/nere+Pron+Ques+A3sg+Pnon+Nom
kendimin	/kendi+Pron+Reflex+A1sg+P1sg+Gen
nedenim	/neden+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg /neden+Noun+A3sg+P1sg+Nom /ne+Pron+Ques+A3sg+Pnon+Abl^DB+Verb+Zero+Pres+A1sg
hiçbirinden	/hiçbiri+Pron+Quant+A3sg+P3sg+Abl
hangilerini	/hangi+Pron+Ques+A3pl+P3pl+Acc
onundur	/o+Pron+Demons+A3sg+Pnon+Gen^DB+Verb+Zero+Pres+Cop+A3sg /o+Pron+Pers+A3sg+Pnon+Gen^DB+Verb+Zero+Pres+Cop+A3sg /on+Num+Card^DB+Noun+Zero+A3sg+P2sg+Nom^DB+Verb+Zero+Pres+Cop+A3sg /on+Num+Card^DB+Noun+Zero+A3sg+Pnon+Gen^DB+Verb+Zero+Pres+Cop+A3sg
onundur	/o+Pron+Demons+A3sg+Pnon+Gen^DB+Verb+Zero+Pres+Cop+A3sg /o+Pron+Pers+A3sg+Pnon+Gen^DB+Verb+Zero+Pres+Cop+A3sg /on+Num+Card^DB+Noun+Zero+A3sg+P2sg+Nom^DB+Verb+Zero+Pres+Cop+A3sg /on+Num+Card^DB+Noun+Zero+A3sg+Pnon+Gen^DB+Verb+Zero+Pres+Cop+A3sg
birimize	/bir+Adj^DB+Noun+Zero+A3sg+P1pl+Dat /bir+Num+Card^DB+Noun+Zero+A3sg+P1pl+Dat /biri+Pron+Quant+A1pl+P1pl+Dat
onunki	/o+Pron+Demons+A3sg+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Nom /o+Pron+Pers+A3sg+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Nom /on+Num+Card^DB+Noun+Zero+A3sg+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Nom
onunki	/o+Pron+Demons+A3sg+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Nom /o+Pron+Pers+A3sg+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Nom /on+Num+Card^DB+Noun+Zero+A3sg+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Nom
onunki	/o+Pron+Demons+A3sg+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Nom /o+Pron+Pers+A3sg+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Nom /on+Num+Card^DB+Noun+Zero+A3sg+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Nom
onunki	/o+Pron+Demons+A3sg+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Nom /o+Pron+Pers+A3sg+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Nom /on+Num+Card^DB+Noun+Zero+A3sg+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Nom
onunki	/o+Pron+Demons+A3sg+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Nom /o+Pron+Pers+A3sg+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Nom /on+Num+Card^DB+Noun+Zero+A3sg+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Nom
kimsiniz	/kim+Pron+Ques+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A2pl
nereyi	/nere+Pron+Ques+A3sg+Pnon+Acc
kimisinin	/kimi+Pron+Quant+A3sg+P3sg+Gen
hangileridir	/hangi+Pron+Ques+A3pl+P3pl+Nom^DB+Verb+Zero+Pres+Cop+A3sg
seninki	/sen+Pron+Pers+A2sg+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Nom
seninki	/sen+Pron+Pers+A2sg+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Nom
olum	/o+Pron+PersP+A3sg+Pnon+Nom^DB+Adj+With^DB+Noun+Zero+A3sg+P1sg+Nom
kiminde	/kim+Pron+Ques+A3sg+P3sg+Loc /kim+Pron+Ques+A3sg+P2sg+Loc /kimi+Pron+Quant+A3sg+P3sg+Loc
kiminde	/kim+Pron+Ques+A3sg+P3sg+Loc /kim+Pron+Ques+A3sg+P2sg+Loc /kimi+Pron+Quant+A3sg+P3sg+Loc
kiminde	/kim+Pron+Ques+A3sg+P3sg+Loc /kim+Pron+Ques+A3sg+P2sg+Loc /kimi+Pron+Quant+A3sg+P3sg+Loc
senindir	/sen+Pron+Pers+A2sg+Pnon+Gen^DB+Verb+Zero+Pres+Cop+A3sg
neredeydiniz	/nere+Pron+Ques+A3sg+Pnon+Loc^DB+Verb+Zero+Past+A2pl
biriyse	/bir+Adj^DB+Noun+Zero+A3sg+P3sg+Nom^DB+Verb+Zero+Cond+A3sg /bir+Num+Card^DB+Noun+Zero+A3sg+P3sg+Nom^DB+Verb+Zero+Cond+A3sg /biri+Pron+Quant+A3sg+P3sg+Nom^DB+Verb+Zero+Cond+A3sg
birisin	/bir+Adj^DB+Noun+Zero+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A2sg /bir+Num+Card^DB+Noun+Zero+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A2sg /biri+Pron+Quant+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A2sg
kimlerdi	/kim+Pron+Ques+A3pl+Pnon+Nom^DB+Verb+Zero+Past+A3sg
neresidir	/nere+Pron+Ques+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+Cop+A3sg
birimizi	/bir+Adj^DB+Noun+Zero+A3sg+P1pl+Acc /bir+Num+Card^DB+Noun+Zero+A3sg+P1pl+Acc /biri+Pron+Quant+A1pl+P1pl+Acc
hepinizden	/hep+Pron+Quant+A2pl+P2pl+Abl
kimilerini	/kimi+Pron+Quant+A3pl+P3pl+Acc
bendin	/ben+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A2sg /ben+Pron+Pers+A1sg+Pnon+Nom^DB+Verb+Zero+Past+A2sg /bent+Noun+A3sg+P2sg+Nom /bent+Noun+A3sg+Pnon+Gen
apron	/apron+Noun+A3sg+Pnon+Nom
apron	/apron+Noun+A3sg+Pnon+Nom
nemden	/ne+Pron+Ques+A3sg+P1sg+Abl /nem+Noun+A3sg+Pnon+Abl /ne+Pron+Ques+A3sg+P1sg+Abl
nemden	/ne+Pron+Ques+A3sg+P1sg+Abl /nem+Noun+A3sg+Pnon+Abl /ne+Pron+Ques+A3sg+P1sg+Abl
hepimizde	/hep+Pron+Quant+A1pl+P1pl+Loc
sizinki	/siz+Pron+Pers+A2pl+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Nom
sizinki	/siz+Pron+Pers+A2pl+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Nom
kendinizle	/kendi+Pron+Reflex+A2pl+P1pl+Ins
neyimiz	/ney+Noun+A3sg+P1pl+Nom /ne+Pron+Ques+A3sg+P1pl+Nom
onlarinki	/onlar+Noun+A3sg+Pnon+Gen^DB+Pron+A3sg+Pnon+Nom /onlarink+Noun+A3sg+P3sg+Nom /onlarink+Noun+A3sg+Pnon+Acc /onlarinki+Noun+A3sg+Pnon+Nom
senle	/sen+Pron+Pers+A2sg+Pnon+Ins
nereli	/nere+Pron+Ques+A3sg+Pnon+Nom^DB+Adj+With
neredesin	/nere+Pron+Ques+A3sg+Pnon+Loc^DB+Verb+Zero+Pres+A2sg
birilerinden	/biri+Pron+Quant+A3pl+P3pl+Abl
hangimiz	/hangi+Pron+Ques+A1pl+P1pl+Nom
hangisiyle	/hangi+Pron+Ques+A3sg+P3sg+Ins
bense	/ben+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Cond+A3sg /ben+Pron+Pers+A1sg+Pnon+Nom^DB+Verb+Zero+Cond+A3sg
bunla	/bu+Pron+Demons+A3sg+Pnon+Ins
onlardaki	/o+Pron+Demons+A3pl+Pnon+Loc^DB+Adj+Rel /o+Pron+Pers+A3pl+Pnon+Loc^DB+Adj+Rel /on+Num+Card^DB+Noun+Zero+A3pl+Pnon+Loc^DB+Adj+Rel
onlardaki	/o+Pron+Demons+A3pl+Pnon+Loc^DB+Adj+Rel /o+Pron+Pers+A3pl+Pnon+Loc^DB+Adj+Rel /on+Num+Card^DB+Noun+Zero+A3pl+Pnon+Loc^DB+Adj+Rel
sizle	/siz+Pron+Pers+A2pl+Pnon+Ins
kendinizde	/kendi+Pron+Reflex+A2pl+P1pl+Loc
nesidir	/ne+Pron+Ques+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+Cop+A3sg /ne+Pron+Ques+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+Cop+A3sg
nesidir	/ne+Pron+Ques+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+Cop+A3sg /ne+Pron+Ques+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+Cop+A3sg
apronda	/apron+Noun+A3sg+Pnon+Loc
apronda	/apron+Noun+A3sg+Pnon+Loc
olusunca	/o+Pron+PersP+A3sg+Pnon+Nom^DB+Adj+With^DB+Noun+Zero+A3sg+P3sg+Equ
öbürünün	/öbür+Pron+Quant+A3sg+P3sg+Gen
bizimkisi	/biz+Pron+Pers+A1pl+Pnon+Gen^DB+Pron+Rel+A3sg+P3sg+Nom /biz+Pron+Pers+A1pl+Pnon+Gen^DB+Pron+Rel^DB+Adj+Almost
bizimkisi	/biz+Pron+Pers+A1pl+Pnon+Gen^DB+Pron+Rel+A3sg+P3sg+Nom /biz+Pron+Pers+A1pl+Pnon+Gen^DB+Pron+Rel^DB+Adj+Almost
bizimkisi	/biz+Pron+Pers+A1pl+Pnon+Gen^DB+Pron+Rel+A3sg+P3sg+Nom /biz+Pron+Pers+A1pl+Pnon+Gen^DB+Pron+Rel^DB+Adj+Almost
bizimkisi	/biz+Pron+Pers+A1pl+Pnon+Gen^DB+Pron+Rel+A3sg+P3sg+Nom /biz+Pron+Pers+A1pl+Pnon+Gen^DB+Pron+Rel^DB+Adj+Almost
neredeyiz	/nere+Pron+Ques+A3sg+Pnon+Loc^DB+Verb+Zero+Pres+A1pl
öbürünü	/öbür+Pron+Quant+A3sg+P3sg+Acc
birbirinizle	/birbiri+Pron+Quant+A2pl+P2pl+Ins
hangisinden	/hangi+Pron+Ques+A3sg+P3sg+Abl
kendisindeki	/kendi+Pron+Reflex+A3sg+P3sg+Loc^DB+Adj+Rel
onun	/o+Pron+Demons+A3sg+Pnon+Gen /o+Pron+Pers+A3sg+Pnon+Gen /on+Num+Card^DB+Noun+Zero+A3sg+P2sg+Nom /on+Num+Card^DB+Noun+Zero+A3sg+Pnon+Gen
onun	/o+Pron+Demons+A3sg+Pnon+Gen /o+Pron+Pers+A3sg+Pnon+Gen /on+Num+Card^DB+Noun+Zero+A3sg+P2sg+Nom /on+Num+Card^DB+Noun+Zero+A3sg+Pnon+Gen
kimilerince	/kimi+Pron+Quant+A3pl+P3pl+Equ
kimiz	/kim+Pron+Ques+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1pl
nesin	/ne+Pron+Ques+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A2sg
hepimizindir	/hep+Pron+Quant+A1pl+P1pl+Gen^DB+Verb+Zero+Pres+Cop+A3sg
bensiz	/ben+Noun+A3sg+Pnon+Nom^DB+Adj+Without /ben+Pron+Pers+A1sg+Pnon+Nom^DB+Adj+Without
bundaki	/bu+Pron+Demons+A3sg+Pnon+Loc^DB+Adj+Rel
bizimkilere	/biz+Pron+Pers+A1pl+Pnon+Gen^DB+Pron+Rel+A3pl+Pnon+Dat
bizimkilere	/biz+Pron+Pers+A1pl+Pnon+Gen^DB+Pron+Rel+A3pl+Pnon+Dat
nedenlerdir	/neden+Noun+A3pl+Pnon+Nom^DB+Adverb+Since /neden+Noun+A3pl+Pnon+Nom^DB+Verb+Zero+Pres+Cop+A3sg /ne+Pron+Ques+A3sg+Pnon+Abl^DB+Verb+Zero+Pres+A3pl+Cop
hangisiydi	/hangi+Pron+Ques+A3sg+P3sg+Nom^DB+Verb+Zero+Past+A3sg
neredeler	/nere+Pron+Ques+A3sg+Pnon+Loc^DB+Verb+Zero+Pres+A3pl
bizimkinden	/biz+Pron+Pers+A1pl+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Abl
bizimkinden	/biz+Pron+Pers+A1pl+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Abl
neyler	/ney+Noun+A3pl+Pnon+Nom /ne+Pron+Ques+A3pl+Pnon+Nom
ner	/nere+Pron+QuesP+A3sg+Pnon+Nom
neyine	/ne+Pron+Ques+A3sg+P3sg+Dat /ney+Noun+A3sg+P3sg+Dat /ney+Noun+A3sg+P2sg+Dat /ne+Pron+Ques+A3sg+P3sg+Dat /ne+Pron+Ques+A3sg+P2sg+Dat
neyine	/ne+Pron+Ques+A3sg+P3sg+Dat /ney+Noun+A3sg+P3sg+Dat /ney+Noun+A3sg+P2sg+Dat /ne+Pron+Ques+A3sg+P3sg+Dat /ne+Pron+Ques+A3sg+P2sg+Dat
neyine	/ne+Pron+Ques+A3sg+P3sg+Dat /ney+Noun+A3sg+P3sg+Dat /ney+Noun+A3sg+P2sg+Dat /ne+Pron+Ques+A3sg+P3sg+Dat /ne+Pron+Ques+A3sg+P2sg+Dat
nemde	/ne+Pron+Ques+A3sg+P1sg+Loc /nem+Noun+A3sg+Pnon+Loc /ne+Pron+Ques+A3sg+P1sg+Loc
nemde	/ne+Pron+Ques+A3sg+P1sg+Loc /nem+Noun+A3sg+Pnon+Loc /ne+Pron+Ques+A3sg+P1sg+Loc
birisiyiz	/biri+Pron+Quant+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A1pl
neredeydin	/nere+Pron+Ques+A3sg+Pnon+Loc^DB+Verb+Zero+Past+A2sg
nereleri	/nere+Pron+Ques+A3pl+P3pl+Nom /nere+Pron+Ques+A3sg+P3pl+Nom /nere+Pron+Ques+A3pl+Pnon+Acc /nere+Pron+Ques+A3pl+P3sg+Nom
nereleri	/nere+Pron+Ques+A3pl+P3pl+Nom /nere+Pron+Ques+A3sg+P3pl+Nom /nere+Pron+Ques+A3pl+Pnon+Acc /nere+Pron+Ques+A3pl+P3sg+Nom
nereleri	/nere+Pron+Ques+A3pl+P3pl+Nom /nere+Pron+Ques+A3sg+P3pl+Nom /nere+Pron+Ques+A3pl+Pnon+Acc /nere+Pron+Ques+A3pl+P3sg+Nom
nereleri	/nere+Pron+Ques+A3pl+P3pl+Nom /nere+Pron+Ques+A3sg+P3pl+Nom /nere+Pron+Ques+A3pl+Pnon+Acc /nere+Pron+Ques+A3pl+P3sg+Nom
kendinle	/kendi+Pron+Reflex+A2sg+P2sg+Ins
nesini	/ne+Pron+Ques+A3sg+P3sg+Acc /ne+Pron+Ques+A3sg+P3sg+Acc
nesini	/ne+Pron+Ques+A3sg+P3sg+Acc /ne+Pron+Ques+A3sg+P3sg+Acc
olusunda	/o+Pron+PersP+A3sg+Pnon+Nom^DB+Adj+With^DB+Noun+Zero+A3sg+P3sg+Loc
neredesiniz	/nere+Pron+Ques+A3sg+Pnon+Loc^DB+Verb+Zero+Pres+A2pl
sizdeki	/siz+Pron+Pers+A2pl+Pnon+Loc^DB+Adj+Rel
kimsem	/kim+Pron+Ques+A3sg+Pnon+Nom^DB+Verb+Zero+Cond+A1sg /kimse+Noun+A3sg+P1sg+Nom
tümüdür	/tümü+Pron+Quant+A3pl+P3pl+Nom^DB+Verb+Zero+Pres+Cop+A3sg
birbirinizin	/birbiri+Pron+Quant+A2pl+P2pl+Gen
nerdesin	/nere+Pron+Ques+A3sg+Pnon+Loc^DB+Verb+Zero+Pres+A2sg
bunlardaki	/bu+Pron+Demons+A3pl+Pnon+Loc^DB+Adj+Rel
bizimkine	/biz+Pron+Pers+A1pl+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Dat
bizimkine	/biz+Pron+Pers+A1pl+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Dat
hiçbirisine	/hiçbiri+Pron+Quant+A3sg+P3sg+Dat
birinize	/bir+Adj^DB+Noun+Zero+A3sg+P2pl+Dat /bir+Num+Card^DB+Noun+Zero+A3sg+P2pl+Dat /biri+Pron+Quant+A2pl+P2pl+Dat
kendindeki	/kendi+Pron+Reflex+A3sg+P3sg+Loc^DB+Adj+Rel /kendi+Pron+Reflex+A2sg+P2sg+Loc^DB+Adj+Rel
kendindeki	/kendi+Pron+Reflex+A3sg+P3sg+Loc^DB+Adj+Rel /kendi+Pron+Reflex+A2sg+P2sg+Loc^DB+Adj+Rel
birbirimiz	/birbiri+Pron+Quant+A1pl+P1pl+Nom
neresini	/nere+Pron+Ques+A3sg+P3sg+Acc
hanginiz	/hangi+Pron+Ques+A2pl+P1pl+Nom
kiminiz	/kim+Pron+Ques+A3sg+P2pl+Nom /kim+Pron+Ques+A3sg+Pnon+Gen^DB+Verb+Zero+Pres+A1pl /kimi+Pron+Quant+A2pl+P2pl+Nom
kiminiz	/kim+Pron+Ques+A3sg+P2pl+Nom /kim+Pron+Ques+A3sg+Pnon+Gen^DB+Verb+Zero+Pres+A1pl /kimi+Pron+Quant+A2pl+P2pl+Nom
kiminiz	/kim+Pron+Ques+A3sg+P2pl+Nom /kim+Pron+Ques+A3sg+Pnon+Gen^DB+Verb+Zero+Pres+A1pl /kimi+Pron+Quant+A2pl+P2pl+Nom
aprona	/apron+Noun+A3sg+Pnon+Dat
aprona	/apron+Noun+A3sg+Pnon+Dat
hiçbirisini	/hiçbiri+Pron+Quant+A3sg+P3sg+Acc
öbürleri	/öbür+Pron+Quant+A3pl+P3pl+Nom
benli	/ben+Noun+A3sg+Pnon+Nom^DB+Adj+With /ben+Pron+Pers+A1sg+Pnon+Nom^DB+Adj+With
hangilerine	/hangi+Pron+Ques+A3pl+P3pl+Dat
neyden	/ney+Noun+A3sg+Pnon+Abl /ne+Pron+Ques+A3sg+Pnon+Abl
kimilerinde	/kimi+Pron+Quant+A3pl+P3pl+Loc
herbirine	/herbiri+Pron+Quant+A3sg+P3sg+Dat
bizdedir	/biz+Noun+A3sg+Pnon+Loc^DB+Verb+Zero+Pres+Cop+A3sg /biz+Pron+Pers+A1pl+Pnon+Loc^DB+Verb+Zero+Pres+Cop+A3sg
buyuz	/bu+Pron+Demons+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1pl
bizimkileri	/biz+Pron+Pers+A1pl+Pnon+Gen^DB+Pron+Rel+A3pl+Pnon+Acc /biz+Pron+Pers+A1pl+Pnon+Gen^DB+Pron+Rel+A3pl+P3sg+Nom
bizimkileri	/biz+Pron+Pers+A1pl+Pnon+Gen^DB+Pron+Rel+A3pl+Pnon+Acc /biz+Pron+Pers+A1pl+Pnon+Gen^DB+Pron+Rel+A3pl+P3sg+Nom
bizimkileri	/biz+Pron+Pers+A1pl+Pnon+Gen^DB+Pron+Rel+A3pl+Pnon+Acc /biz+Pron+Pers+A1pl+Pnon+Gen^DB+Pron+Rel+A3pl+P3sg+Nom
bizimkileri	/biz+Pron+Pers+A1pl+Pnon+Gen^DB+Pron+Rel+A3pl+Pnon+Acc /biz+Pron+Pers+A1pl+Pnon+Gen^DB+Pron+Rel+A3pl+P3sg+Nom
bizimkinin	/biz+Pron+Pers+A1pl+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Gen
bizimkinin	/biz+Pron+Pers+A1pl+Pnon+Gen^DB+Pron+Rel+A3sg+Pnon+Gen
biriyken	/bir+Adj^DB+Noun+Zero+A3sg+P3sg+Nom^DB+Verb+Zero^DB+Adverb+While /bir+Num+Card^DB+Noun+Zero+A3sg+P3sg+Nom^DB+Verb+Zero^DB+Adverb+While /biri+Pron+Quant+A3sg+P3sg+Nom^DB+Verb+Zero^DB+Adverb+While
olusuydu	/o+Pron+PersP+A3sg+Pnon+Nom^DB+Adj+With^DB+Noun+Zero+A3sg+P3sg+Nom^DB+Verb+Zero+Past+A3sg
benimkisi	/ben+Pron+Pers+A1sg+Pnon+Gen^DB+Pron+Rel+A3sg+P3sg+Nom /ben+Pron+Pers+A1sg+Pnon+Gen^DB+Pron+Rel^DB+Adj+Almost
benimkisi	/ben+Pron+Pers+A1sg+Pnon+Gen^DB+Pron+Rel+A3sg+P3sg+Nom /ben+Pron+Pers+A1sg+Pnon+Gen^DB+Pron+Rel^DB+Adj+Almost
benimkisi	/ben+Pron+Pers+A1sg+Pnon+Gen^DB+Pron+Rel+A3sg+P3sg+Nom /ben+Pron+Pers+A1sg+Pnon+Gen^DB+Pron+Rel^DB+Adj+Almost
benimkisi	/ben+Pron+Pers+A1sg+Pnon+Gen^DB+Pron+Rel+A3sg+P3sg+Nom /ben+Pron+Pers+A1sg+Pnon+Gen^DB+Pron+Rel^DB+Adj+Almost
sendeki	/sen+Pron+Pers+A2sg+Pnon+Loc^DB+Adj+Rel
biriyseniz	/bir+Adj^DB+Noun+Zero+A3sg+P3sg+Nom^DB+Verb+Zero+Cond+A2pl /bir+Num+Card^DB+Noun+Zero+A3sg+P3sg+Nom^DB+Verb+Zero+Cond+A2pl /biri+Pron+Quant+A3sg+P3sg+Nom^DB+Verb+Zero+Cond+A2pl
birbirilerine	/birbiri+Pron+Quant+A3pl+P3pl+Dat
sendin	/sen+Pron+Pers+A2sg+Pnon+Nom^DB+Verb+Zero+Past+A2sg
neresindeyiz	/nere+Pron+Ques+A3sg+P3sg+Loc^DB+Verb+Zero+Pres+A1pl
kendisince	/kendi+Pron+Reflex+A3sg+P3sg+Equ
hiçbiriyle	/hiçbiri+Pron+Quant+A3sg+P3sg+Ins
kendimizce	/kendi+Pron+Reflex+A1pl+P1pl+Equ
